Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment
"R31"	"5.1kΩ"	"R0402"	"130.6mm"	"121.497mm"	"130.6mm"	"121.497mm"	"130.6mm"	"121.064mm"	"2"	"T"	"90"	"Yes"	"5.1kΩ"	
"R32"	"5.1kΩ"	"R0402"	"119.4mm"	"121.497mm"	"119.4mm"	"121.497mm"	"119.4mm"	"121.064mm"	"2"	"T"	"90"	"Yes"	"5.1kΩ"	
"D2"	"SMF05CT1G"	"SOT-363_L2.0-W1.3-P0.65-LS2.1-TL"	"121.951mm"	"112.422mm"	"121.951mm"	"112.422mm"	"121.301mm"	"111.502mm"	"6"	"T"	"90"	"Yes"	"SMF05CT1G"	
"C78"	"10uF"	"C1206"	"129.2mm"	"114.2mm"	"129.2mm"	"114.2mm"	"129.2mm"	"112.607mm"	"2"	"T"	"90"	"Yes"	"10uF"	
"C79"	"10uF"	"C1206"	"123.6mm"	"107.9mm"	"123.6mm"	"107.9mm"	"123.6mm"	"109.492mm"	"2"	"T"	"270"	"Yes"	"10uF"	
"USB2"	"TYPE-C 16PIN 2MD(073)"	"USB-C-SMD_TYPE-C-6PIN-2MD-073"	"125mm"	"121mm"	"125mm"	"121mm"	"128.2mm"	"118.625mm"	"16"	"T"	"180"	"No"	"TYPE-C 16PIN 2MD(073)"	
"C33"	"C0402_NEW"	"C0402_NEW"	"32.884mm"	"84.887mm"	"32.884mm"	"84.887mm"	"32.339mm"	"84.887mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C34"	"C0402_NEW"	"C0402_NEW"	"51.784mm"	"84.887mm"	"51.784mm"	"84.887mm"	"51.239mm"	"84.887mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U33"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"32.709mm"	"87.337mm"	"32.709mm"	"87.337mm"	"33.359mm"	"86.687mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"U34"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"51.709mm"	"87.337mm"	"51.709mm"	"87.337mm"	"52.359mm"	"86.687mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C35"	"C0402_NEW"	"C0402_NEW"	"61.985mm"	"84.78mm"	"61.985mm"	"84.78mm"	"61.44mm"	"84.78mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C36"	"C0402_NEW"	"C0402_NEW"	"80.885mm"	"84.78mm"	"80.885mm"	"84.78mm"	"80.34mm"	"84.78mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U35"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"61.81mm"	"87.23mm"	"61.81mm"	"87.23mm"	"62.46mm"	"86.58mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"U36"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"80.81mm"	"87.23mm"	"80.81mm"	"87.23mm"	"81.46mm"	"86.58mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C37"	"C0402_NEW"	"C0402_NEW"	"88.585mm"	"73.423mm"	"88.585mm"	"73.423mm"	"88.04mm"	"73.423mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C38"	"C0402_NEW"	"C0402_NEW"	"107.485mm"	"73.423mm"	"107.485mm"	"73.423mm"	"106.94mm"	"73.423mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U37"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"88.41mm"	"75.873mm"	"88.41mm"	"75.873mm"	"89.06mm"	"75.223mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"U38"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"107.41mm"	"75.873mm"	"107.41mm"	"75.873mm"	"108.06mm"	"75.223mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C39"	"C0402_NEW"	"C0402_NEW"	"117.765mm"	"84.45mm"	"117.765mm"	"84.45mm"	"117.22mm"	"84.45mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C40"	"C0402_NEW"	"C0402_NEW"	"136.665mm"	"84.45mm"	"136.665mm"	"84.45mm"	"136.12mm"	"84.45mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U39"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"117.59mm"	"86.9mm"	"117.59mm"	"86.9mm"	"118.24mm"	"86.25mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"U40"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"136.59mm"	"86.9mm"	"136.59mm"	"86.9mm"	"137.24mm"	"86.25mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C41"	"C0402_NEW"	"C0402_NEW"	"141.965mm"	"100.35mm"	"141.965mm"	"100.35mm"	"141.42mm"	"100.35mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C42"	"C0402_NEW"	"C0402_NEW"	"160.865mm"	"100.35mm"	"160.865mm"	"100.35mm"	"160.32mm"	"100.35mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
